company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,profitability_score,roe_score,leverage_score,efficiency_score,financial_health_score,health_rating
TATASTEEL,Mar 2019,5.79,18.59,13.23,1.46,4.03,0.68,8,12,12,8,40,Average
TATASTEEL,Mar 2020,0.84,12.49,1.6,1.58,1.94,0.56,4,4,12,8,28,Weak
TATASTEEL,Mar 2021,5.24,19.52,11.03,1.19,4.03,0.64,8,12,12,8,40,Average
TATASTEEL,Mar 2022,17.11,26.02,36.48,0.66,11.86,0.86,16,20,16,8,60,Good
TATASTEEL,Mar 2023,3.32,13.27,7.83,0.82,5.38,0.85,4,8,16,8,36,Weak
TATASTEEL,Mar 2024,-2.14,9.71,-5.33,0.95,2.16,0.85,4,4,16,8,32,Weak
TCS,Mar 2013,22.35,28.64,36.52,0.01,400.38,1.21,20,20,20,12,72,Excellent
TCS,Mar 2014,23.63,30.75,39.3,0.01,686.92,1.22,20,20,20,12,72,Excellent
TCS,Mar 2015,21.19,25.87,39.62,0.01,271.17,1.29,20,20,20,12,72,Excellent
TCS,Mar 2016,22.4,28.24,34.24,0.0,1023.06,1.23,20,20,20,12,72,Excellent
TCS,Mar 2017,22.34,27.39,30.57,0.0,1141.62,1.15,20,20,20,12,72,Excellent
TCS,Mar 2018,21.02,26.41,30.4,0.0,695.35,1.17,20,20,20,12,72,Excellent
TCS,Mar 2019,21.55,26.97,35.29,0.0,221.3,1.29,20,20,20,12,72,Excellent
TCS,Mar 2020,20.67,26.83,38.57,0.1,50.54,1.31,20,20,20,12,72,Excellent
TCS,Mar 2021,19.83,28.35,37.67,0.09,76.08,1.26,16,20,20,12,68,Good
TCS,Mar 2022,20.05,27.67,43.13,0.09,72.8,1.36,20,20,20,12,72,Excellent
TCS,Mar 2023,18.76,26.28,46.78,0.09,80.5,1.58,16,20,20,16,72,Excellent
TCS,Mar 2024,19.14,26.69,50.94,0.09,87.1,1.66,16,20,20,16,72,Excellent
TECHM,Mar 2013,19.02,20.69,24.09,0.25,12.44,0.77,16,20,20,8,64,Good
TECHM,Mar 2014,16.29,22.19,33.35,0.04,55.2,1.18,16,20,20,12,68,Good
TECHM,Mar 2015,11.75,18.54,21.71,0.06,62.3,1.14,12,20,20,12,64,Good
TECHM,Mar 2016,11.43,16.08,20.75,0.07,48.59,1.18,12,20,20,12,64,Good
TECHM,Mar 2017,9.78,14.36,17.35,0.08,38.44,1.12,8,16,20,12,56,Good
TECHM,Mar 2018,12.3,15.31,20.09,0.13,37.82,1.01,12,20,20,12,64,Good
TECHM,Mar 2019,12.35,18.05,21.14,0.1,51.17,1.04,12,20,20,12,64,Good
